npi,first_name,last_name,address_line_1,city,state,zip_code,phone,specialty
,David,Anderson,5247 Lakeview Dr,San Diego,US,87139,465-537-4285,Oncology
,Charles,Davis,886 Park Ave,Dallas,US,43161,992-515-2543,Anesthesiology
7791196608,David,Hernandex,6876 Oak Ln,Los Angeles,US,79869,799-261-3771,Pediatrics
9613155066,Elizabethy,Anderson,8899 Oak Ln,San Diego,US,45282,519-276-7023,Dermatology
3841266866,Mary,Williams,6062 Main Street,Chicago,US,88289,843-500-2496,Dermatology
9367160878,Susan,Lopez,7511 Washington Blvd,Dallas,US,71141,452-486-4095,Internal Medicine
4281633954,Richard,Jones,9995 Main St,San Diego,US,82312,789-828-9126,Internal Medicine
3237674351,William,Moore,5423 Elm St,New York,US,23796,672-263-5036,Family Practice
1564798561,Jennifer,Jones,9877 Washington Blvd,Phoenix,US,99778,855-616-2275,Internal Medicine
,Susan,Rodriguez,1678 Lakeview Dr,Los Angeles,US,28682,798-259-3960,Family Practice
,Sarah,Martinez,9968 Broadway,Dallas,US,51114,300-899-9616,Family Practice
,Charles,Williams,203 Hillside Ave,New York,US,30245,664-738-7268,Neurology
2240925153,Jennifer,Davis,9455 Park Avenue,Philadelphia,US,38463,462-348-7221,Psychiatry
6141807669,Karen,Jones,9119 Washington Blvd,San Jose,US,29442,884-496-3814,Pediatrics
1212853612,Susan,Gonzalez,8849 Hillside Avenue,Houston,US,19182,643-667-1940,Radiology
2383950226,Robert,Williams,8069 Cedar Ct,Phoenix,US,76029,795-461-3728,Pediatrics
,Jennifer,Garcia,3819 Lakeview Dr,Los Angeles,US,93652,506-815-6028,Radiology
9258592512,James,Davis,2696 Elm St,Houston,US,59589,653-467-3211,Neurology
7021714046,Susany,Johnson,2500 Maple Dr,Los Angeles,US,27373,269-347-6272,Anesthesiology
2526811338,Patricia,Moore,4497 Lakeview Dr,Phoenix,US,80384,561-860-5253,Dermatology
8660978908,James,Lopez,9907 Broadway,Phoenix,US,24469,676-267-3784,Radiology
3613640371,Michael,Moore,1956 Main Street,Chicago,US,59886,575-597-7922,Psychiatry
9177253895,Davidy,Williams,6710 Elm St,Chicago,US,17794,679-746-4902,Internal Medicine
3141615892,Linda,Garcia,2420 Hillside Avenue,San Diego,US,53930,744-446-8155,Radiology
1434971050,Patricia,Taylor,5369 Broadway,Houston,US,41269,717-863-7929,Family Practice
2501588725,John,Lopez,2650 Main St,Dallas,US,61749,200-772-1994,Dermatology
1879625807,Sarah,Thomas,1163 Park Avenue,San Jose,US,20600,854-841-4076,Dermatology
7680210840,Susan,Brown,8812 Park Avenue,Los Angeles,US,11309,394-208-4109,Neurology
8990513448,John,Williamx,4229 Broadway,Dallas,US,60208,510-768-9150,Oncology
1190428335,Mary,Lopex,8682 Washington Blvd,Chicago,US,56991,761-443-4545,Pediatrics
1446430662,Jennifer,Garcia,5677 Park Ave,San Diego,US,30838,475-389-8662,Pediatrics
5241062130,Michael,Davis,5892 Elm Street,San Jose,US,80727,742-777-2246,Internal Medicine
4912474062,Patricia,Martinez,4698 Washington Blvd,MovedCity,US,00000,514-367-2347,Psychiatry
6672260006,Patricia,Millex,3013 Hillside Ave,Dallas,US,73194,667-244-4957,Radiology
1546556661,William,Martin,569 Hillside Ave,MovedCity,US,00000,389-281-2353,Internal Medicine
4023690070,Joseph,Johnson,6430 Washington Blvd,MovedCity,US,00000,773-683-3681,Anesthesiology
,Robert,Moore,5771 Elm St,San Jose,US,12513,350-635-5352,Oncology
1159964536,Sarah,Williams,6327 Hillside Ave,Los Angeles,US,79838,232-544-8796,Family Practice
8919297664,Sarah,Moore,6193 Hillside Ave,New York,US,86499,985-852-9876,Dermatology
4359179558,Charles,Taylor,3796 Main Street,Houston,US,37652,298-704-2333,Cardiology
7709102138,Barbara,Martix,4753 Maple Dr,New York,US,67024,652-372-5076,Psychiatry
8812564739,Thomas,Gonzalez,888 Washington Blvd,San Jose,US,86041,649-540-1176,Psychiatry
,Elizabeth,Smith,8644 Elm St,Houston,US,94470,328-202-3509,Internal Medicine
1364918127,Barbara,Taylor,5557 Cedar Ct,San Antonio,US,99584,578-781-5295,Neurology
6015842241,Sarah,Moore,6220 Hillside Ave,Chicago,US,60661,349-771-4016,Pediatrics
,Jessica,Jackson,3572 Park Ave,San Jose,US,48792,210-633-7577,Neurology
,Patricia,Thomas,8925 Broadway,Houston,US,43956,394-890-3843,Oncology
4744390925,Elizabeth,Hernandez,8690 Lakeview Dr,Chicago,US,18442,516-335-8077,Oncology
4021954265,Elizabeth,Martin,9391 Cedar Ct,Houston,US,64558,538-494-2601,Psychiatry
,Robert,Williams,2754 Maple Dr,New York,US,50337,619-952-1918,Dermatology
6295465149,James,Anderson,8645 Park Ave,San Antonio,US,14141,789-286-9636,Family Practice
,Charles,Martin,6495 Cedar Ct,San Antonio,US,91239,270-276-1640,Cardiology
6322121923,Robert,Rodriguez,6696 Oak Ln,Los Angeles,US,94607,247-839-8417,Psychiatry
,Patricia,Anderson,876 Main St,San Antonio,US,39856,506-266-7360,Anesthesiology
,Robert,Jackson,3243 Washington Blvd,Houston,US,27228,403-400-2443,Dermatology
6092701188,Jennifer,Williams,2639 Broadway,Philadelphia,US,85419,559-742-4327,Dermatology
,Richard,Lopez,9723 Washington Blvd,Los Angeles,US,29791,290-393-2277,Pediatrics
8655168111,Charles,Davis,6505 Washington Blvd,Philadelphia,US,57391,200-873-8706,Psychiatry
,Linda,Moore,6607 Park Ave,Houston,US,14875,871-546-5862,Internal Medicine
9479354338,Linda,Miller,1789 Maple Dr,Chicago,US,14727,585-412-9257,Family Practice
3556629994,Patricia,Rodriguez,462 Main St,Houston,US,19785,464-656-9723,Oncology
,Robert,Gonzalez,6853 Elm St,Houston,US,60600,867-692-2223,Pediatrics
